images,labels
data/images/paper_159.jpg,data/labels/paper_159.txt
data/images/paper_096.jpg,data/labels/paper_096.txt
data/images/paper_088.jpg,data/labels/paper_088.txt
data/images/paper_020.jpg,data/labels/paper_020.txt
data/images/paper_172.jpg,data/labels/paper_172.txt
data/images/paper_007.jpg,data/labels/paper_007.txt
data/images/paper_153.jpg,data/labels/paper_153.txt
data/images/paper_087.jpg,data/labels/paper_087.txt
data/images/paper_079.png,data/labels/paper_079.txt
data/images/paper_056.jpeg,data/labels/paper_056.txt
data/images/paper_119.jpg,data/labels/paper_119.txt
data/images/paper_137.jpg,data/labels/paper_137.txt
data/images/paper_032.jpg,data/labels/paper_032.txt
data/images/paper_094.jpg,data/labels/paper_094.txt
data/images/paper_105.jpg,data/labels/paper_105.txt
data/images/paper_122.jpg,data/labels/paper_122.txt
data/images/paper_185.jpg,data/labels/paper_185.txt
data/images/paper_033.jpg,data/labels/paper_033.txt
data/images/paper_125.jpg,data/labels/paper_125.txt
data/images/paper_077.jpg,data/labels/paper_077.txt
data/images/paper_199.jpg,data/labels/paper_199.txt
data/images/paper_165.jpg,data/labels/paper_165.txt
data/images/paper_080.jpg,data/labels/paper_080.txt
data/images/paper_002.jpg,data/labels/paper_002.txt
data/images/paper_170.jpg,data/labels/paper_170.txt
data/images/paper_117.jpg,data/labels/paper_117.txt
data/images/paper_127.jpg,data/labels/paper_127.txt
data/images/paper_075.jpeg,data/labels/paper_075.txt
data/images/paper_126.jpg,data/labels/paper_126.txt
data/images/paper_141.jpg,data/labels/paper_141.txt
data/images/paper_070.jpeg,data/labels/paper_070.txt
data/images/paper_161.jpg,data/labels/paper_161.txt
data/images/paper_106.jpg,data/labels/paper_106.txt
data/images/paper_196.jpg,data/labels/paper_196.txt
data/images/paper_016.jpg,data/labels/paper_016.txt
data/images/paper_151.jpg,data/labels/paper_151.txt
data/images/paper_063.jpg,data/labels/paper_063.txt
data/images/paper_055.jpeg,data/labels/paper_055.txt
data/images/paper_164.jpg,data/labels/paper_164.txt
data/images/paper_140.jpg,data/labels/paper_140.txt
data/images/paper_058.jpeg,data/labels/paper_058.txt
data/images/paper_057.jpeg,data/labels/paper_057.txt
data/images/paper_078.png,data/labels/paper_078.txt
data/images/paper_038.jpg,data/labels/paper_038.txt
data/images/paper_163.jpg,data/labels/paper_163.txt
data/images/paper_065.jpeg,data/labels/paper_065.txt
data/images/paper_189.jpg,data/labels/paper_189.txt
data/images/paper_186.jpg,data/labels/paper_186.txt
data/images/paper_085.jpg,data/labels/paper_085.txt
data/images/paper_101.jpg,data/labels/paper_101.txt
data/images/paper_039.jpg,data/labels/paper_039.txt
data/images/paper_008.jpg,data/labels/paper_008.txt
data/images/paper_152.jpg,data/labels/paper_152.txt
data/images/paper_076.jpg,data/labels/paper_076.txt
data/images/paper_053.jpeg,data/labels/paper_053.txt
data/images/paper_194.jpg,data/labels/paper_194.txt
data/images/paper_188.jpg,data/labels/paper_188.txt
data/images/paper_200.jpg,data/labels/paper_200.txt
data/images/paper_019.jpg,data/labels/paper_019.txt
data/images/paper_118.jpg,data/labels/paper_118.txt
data/images/paper_182.jpg,data/labels/paper_182.txt
data/images/paper_175.jpg,data/labels/paper_175.txt
data/images/paper_191.jpg,data/labels/paper_191.txt
data/images/paper_144.jpg,data/labels/paper_144.txt
data/images/paper_090.jpg,data/labels/paper_090.txt
data/images/paper_168.jpg,data/labels/paper_168.txt
data/images/paper_066.jpeg,data/labels/paper_066.txt
data/images/paper_050.jpg,data/labels/paper_050.txt
data/images/paper_044.jpg,data/labels/paper_044.txt
data/images/paper_036.jpg,data/labels/paper_036.txt
data/images/paper_176.png,data/labels/paper_176.txt
data/images/paper_184.jpg,data/labels/paper_184.txt
data/images/paper_146.jpg,data/labels/paper_146.txt
data/images/paper_116.jpg,data/labels/paper_116.txt
data/images/paper_041.jpg,data/labels/paper_041.txt
data/images/paper_035.jpg,data/labels/paper_035.txt
data/images/paper_136.jpg,data/labels/paper_136.txt
data/images/paper_062.jpg,data/labels/paper_062.txt
data/images/paper_193.jpg,data/labels/paper_193.txt
data/images/paper_192.jpg,data/labels/paper_192.txt
data/images/paper_139.jpg,data/labels/paper_139.txt
data/images/paper_023.jpg,data/labels/paper_023.txt
data/images/paper_111.jpg,data/labels/paper_111.txt
data/images/paper_171.jpg,data/labels/paper_171.txt
data/images/paper_013.jpg,data/labels/paper_013.txt
data/images/paper_068.jpeg,data/labels/paper_068.txt
data/images/paper_012.jpg,data/labels/paper_012.txt
data/images/paper_120.jpg,data/labels/paper_120.txt
data/images/paper_109.jpg,data/labels/paper_109.txt
data/images/paper_143.jpg,data/labels/paper_143.txt
data/images/paper_166.jpg,data/labels/paper_166.txt
data/images/paper_028.jpg,data/labels/paper_028.txt
data/images/paper_037.jpg,data/labels/paper_037.txt
data/images/paper_040.jpg,data/labels/paper_040.txt
data/images/paper_107.jpg,data/labels/paper_107.txt
data/images/paper_102.jpg,data/labels/paper_102.txt
data/images/paper_069.jpeg,data/labels/paper_069.txt
data/images/paper_004.jpg,data/labels/paper_004.txt
data/images/paper_017.jpg,data/labels/paper_017.txt
data/images/paper_064.jpeg,data/labels/paper_064.txt
data/images/paper_074.jpeg,data/labels/paper_074.txt
data/images/paper_031.jpg,data/labels/paper_031.txt
data/images/paper_003.jpg,data/labels/paper_003.txt
data/images/paper_134.jpg,data/labels/paper_134.txt
data/images/paper_190.jpg,data/labels/paper_190.txt
data/images/paper_108.jpg,data/labels/paper_108.txt
data/images/paper_123.jpg,data/labels/paper_123.txt
data/images/paper_121.jpg,data/labels/paper_121.txt
data/images/paper_197.jpg,data/labels/paper_197.txt
data/images/paper_022.jpg,data/labels/paper_022.txt
data/images/paper_043.jpg,data/labels/paper_043.txt
data/images/paper_174.jpg,data/labels/paper_174.txt
data/images/paper_177.png,data/labels/paper_177.txt
data/images/paper_071.jpg,data/labels/paper_071.txt
data/images/paper_067.jpeg,data/labels/paper_067.txt
data/images/paper_169.jpg,data/labels/paper_169.txt
data/images/paper_010.jpg,data/labels/paper_010.txt
data/images/paper_167.jpg,data/labels/paper_167.txt
data/images/paper_049.jpg,data/labels/paper_049.txt
data/images/paper_132.jpg,data/labels/paper_132.txt
data/images/paper_147.jpg,data/labels/paper_147.txt
data/images/paper_054.jpg,data/labels/paper_054.txt
data/images/paper_051.jpeg,data/labels/paper_051.txt
data/images/paper_110.jpg,data/labels/paper_110.txt
data/images/paper_183.jpg,data/labels/paper_183.txt
data/images/paper_103.jpg,data/labels/paper_103.txt
data/images/paper_059.jpg,data/labels/paper_059.txt
data/images/paper_072.jpeg,data/labels/paper_072.txt
data/images/paper_015.jpg,data/labels/paper_015.txt
data/images/paper_060.jpg,data/labels/paper_060.txt
data/images/paper_082.jpg,data/labels/paper_082.txt
data/images/paper_180.jpg,data/labels/paper_180.txt
data/images/paper_195.jpg,data/labels/paper_195.txt
data/images/paper_052.jpeg,data/labels/paper_052.txt
data/images/paper_098.jpg,data/labels/paper_098.txt
data/images/paper_026.jpg,data/labels/paper_026.txt
data/images/paper_011.jpg,data/labels/paper_011.txt
data/images/paper_128.jpg,data/labels/paper_128.txt
data/images/paper_162.jpg,data/labels/paper_162.txt
data/images/paper_142.jpg,data/labels/paper_142.txt
